QUEST_LV_0200_20150317_000001	Солдат Филиппа	필리파스 직속 부대원
QUEST_LV_0200_20150714_007543	Мы, Куполы, направляем всех духов к богине Аусрин.{nl}Они вечно покоятся с миром рядом с богинями.{nl}	모든 영혼들은 저희 큐폴들이 아우슈리네 여신께 인도하지요.{nl}여신의 곁에서 영원히 편히 쉬는 거예요.{nl}큐폴 비타
QUEST_LV_0200_20150714_007544	Но все они исчезнут, если их потушить.{nl}Но, если демоны замешаны… мы могли бы использовать их в качестве питательных веществ.{nl}	하지만 소멸은 그저 남김없이 사라질 뿐이에요.{nl}하지만 마족이 관여되었다면 어쩌면.. 양분으로 쓰일 수도 있겠군요.{nl}큐폴 비타
QUEST_LV_0200_20150714_007545	На этом планшете что-то выгравировано.{nl}Чтобы увидеть, что написано, вам нужно достать материалы, которыми можно натирать.	무언가 음각으로 새겨져 있다.{nl}내용을 보려면 탁본을 뜰 수 있는 적당한 재료를 구해야 할 것 같다.비석
QUEST_LV_0200_20150714_007546	Адриюс	아드리유스
QUEST_LV_0200_20150714_007547	О, вы, должно быть, видели мою доску объявлений.{nl}Что ж, меня не волнует, если вы пришли сюда не из-за этого.{nl}Если вы принесете мне мусор, найденный в этом регионе, я должным образом награду вас.{ nl}	오, 내 알림판을 본 모양이로군.{nl}아니어도 상관 없네. 이 지역의 탁본을 내게 가져다 주면 적당히 사례하려고 했으니까.{nl}아드리유스
QUEST_LV_0200_20150714_007548	Посмотрим…{nl}	어디보자.. 아드리유스
QUEST_LV_0200_20150714_007549	Пусть нити судьбы будут оборваны и свободно порхают	운명의 실타래가 끊어져 방황하리라아드리유스
QUEST_LV_0200_20150714_007550	?{nl}Может, это богиня Лайма…	?{nl}설마 이게 그 라이마 여신을 말하는 건가..아드리유스
QUEST_LV_0200_20150714_007551	Пусть нити судьбы разорвутся и развеются свободно.	운명의 실타래가 끊어져 방황하리라.비석
QUEST_LV_0200_20150714_007552	О, это трение? Огромное спасибо.{nl}Давайте посмотрим…{nl}	오, 탁본인가? 정말 고마워. {nl}어디보자.. 아드리유스
QUEST_LV_0200_20150714_007553	Стены Королевства прослужат дольше, чем само Королевство	왕도의 성벽이 왕도보다 오래 가리라아드리유스
QUEST_LV_0200_20150714_007554	Это действительно так!{nl}Столица сейчас в руинах, но стены все еще стоят.	그렇군! {nl}지금 수도는 폐허이지만 성벽만큼은 남아 있지.아드리유스
QUEST_LV_0200_20150714_007555	Добро пожаловать!{nl}Выбирайте все, что хотите.	어서 오세요!{nl}무엇이든 골라보세요.잡화 상인 뮤라스
QUEST_LV_0200_20150714_007556	Посмотрите на надпись рядом со мной. Это надгробие с незапамятных времен подвергалось эрозии от стихии.{nl}Нам нужно его восстановить.{nl}	내 옆의 비석을 봐. 오랫동안 온갖 풍파를 겪다 보니 음각이 희미해졌지. {nl}이걸 복원해야 해.{nl}아드리유스
QUEST_LV_0200_20150714_007557	Будьте осторожны с этим. Это яд, превращающий физиологические жидкости в кислоту.{nl}Бросьте его на монстров поблизости и принесите мне полученную кислоту.	조심히 받아. 이건 체액을 산성으로 만들어주는 독약이니까.{nl}이걸 몬스터에게 던져서 그 체액을 가져다 줬으면 해.아드리유스
QUEST_LV_0200_20150714_007558	Когда-то это место было тренировочным полем для тех, кто хотел стать оракулом.{nl}Здесь тренировались и создавали надписи с этими прогнозами.{nl}	이 누오로딘 폭포에는 아주 오래 전에 오라클 지망생들의 수련장이 있었지.{nl}그들은 수련을 하면서 비석을 만들어 예언을 적곤 했어.{nl}아드리유스
QUEST_LV_0200_20150714_007559	Я уверен, что это должны быть полезные прогнозы в этой области.{nl}Хотя все важные прогнозы уже ушли.	난 틀림없이, 지금 이 세상에 도움이 될 만한 예언이 있을 거라 믿어.{nl}중요한 예언들은 당연히 모두 사라졌다고 해도 말이지.아드리유스
QUEST_LV_0200_20150714_007560	О да. Есть разбавитель, который я запросил у Торговца Предметами в Федимиане.{nl}Не могли бы вы забрать его и для меня?	참. 그리고 페디미안의 도구상인에게 내가 부탁해 놓은 희석액이 있어.{nl}그것도 챙겨줄 수 있을까?
QUEST_LV_0200_20150714_007561	С помощью кислой жидкости я могу глубже проникнуть в надгробие.{nl}Не забудьте также навестить Федимиана.	산성 체액으로 음각 부분을 더 깊게 파 볼 생각이야.{nl}아. 페디미안에 다녀 오는 걸 잊지 말아줘.아드리유스
QUEST_LV_0200_20150714_007562	Ах вот оно что. Спасибо за ваши усилия.{nl}Теперь я объединю его с разбавляющим раствором и налью…	오, 바로 이거야. 정말 고생했어.{nl}이제 이걸 희석액에 섞어 적당히 뿌리면..아드리유스
QUEST_LV_0200_20150714_007563	Ага… что…?	아.. 이런. 아드리유스
QUEST_LV_0200_20150714_007564	Чтобы съесть кепу, ее просто кипятят в соленой воде.	케파는 소금물에 삶으면 먹을 만 하다아드리유스
QUEST_LV_0200_20150714_007565	...{nl}Это бесполезный прогноз!{nl}	 라니..{nl}지금으로서는 그리 쓸만한 예언은 아닌 것 같아.{nl}아드리유스
QUEST_LV_0200_20150714_007566	Кепа съедобны?{nl}Это полезный прогноз? Я запутался.	아니 그보다, 케파, 먹을 수 있는 거였어?{nl}그럼 쓸만한 예언인가? 혼란스럽다.아드리유스
QUEST_LV_0200_20150714_007567	В Gruitis Hall почти не осталось песка на планшете.{nl}Я принес кисть, но она не будет достаточно эффективной.{nl}	그뤼티스 전당의 비석은 흙먼지가 단단하게 들러 붙어 있더라고.{nl}가져온 솔이 있지만 이걸론 택도 없었지.{nl}아드리유스
QUEST_LV_0200_20150714_007568	Мне нужна более жесткая кисть. Извините, но не могли бы вы принести мне какой-нибудь жесткий мех?{nl}Подождите, пока Вендиго-Лучники упадут в обморок после попадания в них этим дротиком.	더 억센 솔이 필요해. 미안하지만, 뻣뻣한 털을 부탁해도 될까?{nl}이 마비침을 웬디고 아처에게 맞춰서 기절할 때를 노리는 거야.
QUEST_LV_0200_20150714_007569	А пока я буду осматривать другие планшеты.{nl}Хорошо, я рассчитываю на вас.	그 동안 나는 잠시 다른 비석을 둘러 보고 와야겠군.{nl}그럼 부탁해.아드리유스
QUEST_LV_0200_20150714_007570	Хорошо, мы оба вернулись как раз вовремя.{nl}Отдайте их мне. Я легко могу сделать из него кисточку.	딱 만났네. 방금 도착한 참이야.{nl}이리 줘. 솔 만드는 거야 쉽지.아드리유스
QUEST_LV_0200_20150714_007571	Не уверен, заметили ли вы, но эти планшеты записывают прогнозы на будущее.{nl}Это место давным-давно было тренировочной площадкой для Оракулов.{nl}	눈치챘는진 모르겠지만 이 탁본들은 예언을 기록한 것들이야.{nl}여긴 아주 오래 전에 오라클들의 수련원이였거든.{nl}아드리유스
QUEST_LV_0200_20150714_007572	Я изучаю прогнозы, которые все еще остаются здесь.{nl}Мне нужен помощник. Что вы думаете?	난 여기에 남아있는 예언들을 연구하고 있어.{nl}마침 조수가 필요했는데 그 쪽 생각은 어때?아드리유스
QUEST_LV_0200_20150714_007573	Хорошо. Вы также получите ценную информацию и опыт.{nl}Хорошо, можно приступить?	좋아. 분명 자네에게도 정보든 경험이든 밑지지는 않을거야. {nl}자, 슬슬 시작해 볼까?아드리유스
QUEST_LV_0200_20150714_007574	Раньше это было тренировочным полем Оракулов.{nl}Я ищу здесь заброшенные прогнозы.	여긴 옛 오라클들의 수련장이야.{nl}난 여기서 버려진 예언들을 찾고 있지.아드리유스
QUEST_LV_0200_20150714_007575	Если потянуть за рычаги по порядку, надгробия могут среагировать.	레버를 순서대로 당기면 비석이 반응 할 것 같습니다.비석
QUEST_LV_0200_20150714_007576	Кажется, у вас есть еще одна просьба ко мне.{nl}Чем я могу вам помочь?	제게 다른 용건이 있으신 모양이군요.{nl}무슨 일이시지요?레나
QUEST_LV_0200_20150714_007577	Эйтбарас… он…{nl}	아이트바라스 그 자는..{nl}레나
QUEST_LV_0200_20150714_007578	Спасибо, что рассказали мне эту драгоценную историю.{nl}Но мы пока не можем рассказать вам то, что знаем об этой истории.{nl}	일단 소중한 이야기를 들려주셔서 감사합니다만. {nl}그에 대해 저희가 알고 있는 내용을 말씀드리긴 어렵습니다.{nl}레나
QUEST_LV_0200_20150714_007579	Но взамен я дам вам копию писаний с надгробия.{nl}Я верю, что вы можете встретиться с ним однажды…	대신 답례로 비석의 내용을 묶어 드릴게요.{nl}어쩌면.. 그와 인연이 닿을 수도 있겠다는 생각이 드네요.레나
QUEST_LV_0200_20150714_007580	Рекорды Эйтбараса	아이트바라스의 기록
QUEST_LV_0200_20150714_007581	Я покидаю эту запись, когда еще буду Эйтбарасом.{nl}	내가 아직 아이트바라스 일 때 이 기록을 남겨 둔다.{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007582	{nl}Я трепещу перед ними.{nl}Такую скромную фею, как я, не сравнить с ними…{nl}{nl}	{nl}그분들에겐 경외가 있었다.{nl}그저 보잘것없는 요정인 나 따윈 견줄 수 조차 없는..{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007583	Я до сих пор помню время, когда они были мирными.{nl}Но те времена давно прошли.{nl}	나는 아직 그분들이 대립하지 않았던 시절을 기억한다.{nl}하지만 너무 멀리 지나간 시간일 뿐이다.{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007584	Эти самые существа теперь обладают сильными амбициями и войной, которой не видно конца…{nl}Даже фея вроде меня не могла притвориться, что не видит этого.{nl}{nl}	그 시간이 전해준 그분들의 깊은 골과 대립은 너무나도 깊고 끝이 보이질 않아서..{nl}나 같은 요정들조차 외면하기 어려울 정도였다.{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007585	Когда разлад этих великих существ начал охватывать мир, мне тоже стало любопытно, почему они противоречат друг другу.{nl}Возможно, сейчас самое время люди могут начать жить независимой жизнью.	위대한 존재들의 불화가 세계에 영향을 미치기 시작하자 나 역시 그분들이 대립하는 이유가 궁금해졌다.{nl}아마도 그 시기가 인간들이 비로소 독립적인 삶을 살아가기 시작한 시점이 아닐지 싶다.아이트바라스의 기록
QUEST_LV_0200_20150714_007586	Осрин воздержалась от ответов на мои вопросы о конфликте.{nl}Вместо этого она попросила меня помолиться о удаче людям, укрывающимся в своих домах.{nl}{nl}	아우슈리네께서는 내가 질문한 대립에 관해선 언급을 자제하셨다.{nl}오히려 내게 인간들의 집에 깃들어 운을 기원하라는 역할을 당부하셨다.{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007587	Гилтина тоже не ответила.{nl}Как обычно, она не поддержала роль, которую мне предложила Осрин.{nl}{nl}	길티네님도 마찬가지로 해답을 내려주시진 않으셨다.{nl}또한 아우슈리네께서 주신 역할을 거두시려고도 하지 않으셨다.{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007588	Но в удаче есть удача и неудача, и моя миссия - управлять обеими сторонами.{nl}Я верю в эти слова своему сердцу и использую их как руководящий принцип в своей работе.{nl}{nl}	다만 그 분은 운에는 행운과 불행이 있으며 그 양쪽을 관리하는 것이 진정한 사명이 될 것이라고 하셨다.{nl}나는 그 말이 맞다고 여겼기에 그 역시 내 사명의 지침으로 삼았다.{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007589	С тех пор я провел бесчисленное количество часов, выполняя свою новую роль.{nl}Однако мои обязанности не дали ответа на мои вопросы.	그 후로 셀 수도 없는 시간을 새로 맡은 역할을 감당하며 보냈다.{nl}하지만 그 사역은 나의 의문에 대한 답을 주지 않았다.아이트바라스의 기록
QUEST_LV_0200_20150714_007590	Вот почему я пошел к Гилтине.{nl}Выслушав мои повторяющиеся вопросы, она наконец открыла рот после долгого молчания.{nl}{nl}	그리하여 나는 다시 길티네님을 찾아갔다.{nl}길티네님께선 나의 반복된 질문을 듣고 긴 침묵 끝에 입을 여셨다.{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007591	Я не собираюсь давать вам ответ.{nl}Но я могу дать вам силу.{nl}	나는 네게 해답을 주지 않을 것이다.{nl}그러나 나는 네게 힘을 줄 수는 있다.{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007592	Сила, которая может привести вас к ответу, который вы ищете.{nl}Даже если вы никогда не получите ответа, вы останетесь довольны своими новыми изменениями.	어쩌면 그 힘이 네가 원하는 해답에 이르게 할 수도 있다.{nl}설령 답을 얻지 못할지라도 지금과는 다른 새로운 변화와 만족을 얻을 수 있을 것이다.아이트바라스의 기록
QUEST_LV_0200_20150714_007593	Я немедленно ушел, ничего не сказав.{nl}Но вскоре я… осознал, что был так близок к тому, чтобы наконец получить что-то…{nl}поймал себя на том, что рыдаю… и понял, чего я действительно хочу{nl}{nl}	나는 그 자리에서 아무 말도 하지 못한 채 물러났다.{nl}하지만 나는.. 손 끝에 간신히 무언가 걸리는 것 같은.. 서럽게 우는 나 자신을 발견하고서야 깨달았다.{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007594	Когда солнце сядет завтра, я вернусь в Гилтин. И скажи ей о моем решении.	내일 해가 질 때에 길티네님을 뵙고 그 결심을 말씀드릴 것이다.아이트바라스의 기록
QUEST_LV_0200_20150714_007595	Археолог Юстас	고고학자 유스타스
QUEST_LV_0200_20150714_007596	Мне так повезло. Богини мне тоже помогли.	난 참 운이 좋아. 이번에도 여신께서 도우셨어.{nl}방금 건 정말 위험했지만..고고학자 유스타스
QUEST_LV_0200_20150714_007597	Ах, я Юстас. Я раскапываю записи Деметрия, историка древнего периода.{nl}Что привело вас сюда?	아, 난 유스타스. 고대의 사학자인 데미트리우스의 기록을 발굴 중이야.{nl}여긴 어쩐 일이지?{nl}고고학자 유스타스
QUEST_LV_0200_20150714_007598	Это так… Revelator… Тогда вам нужно мое исследование.{nl}На самом деле, мне нужен был кто-то, кто был бы моим охранником и помощником. Вам интересно?	그랬군. 계시자라.. 그렇다면 내 연구가 맘에 들거야.{nl}안그래도 지금 내 호위 겸 보조가 필요하거든. 어때?고고학자 유스타스
QUEST_LV_0200_20150714_007599	Это место - руины до строительства королевства.{nl}Но меня это не особо интересует.{nl}	이 곳은 왕국이 세워지기 이전의 유적들이지.{nl}하지만 난 여기 자체엔 별로 관심이 없어.{nl}고고학자 유스타스
QUEST_LV_0200_20150714_007600	Что мне действительно нужно, так это записи Деметриуса.{nl}Уникально то, что они записаны на металлической пластине… Кажется, в них есть удивительная история.{nl}	내가 정말 원하는 건 데메트리우스의 기록이야.{nl}특이하게 금속판에 기록되어있는데.. 뭔가 엄청난 이야기를 담고 있는 것 같거든.{nl}고고학자 유스타스
QUEST_LV_0200_20150714_007601	Может быть, мы сможем узнать, откуда мы пришли.{nl}Тогда мы сможем узнать, что будет с нами тоже.	어쩌면 우리가 어디서 왔는지 알 수도 있겠지.{nl}그렇다면 우리가 어떻게 되는지도 알 수 있지 않을까?고고학자 유스타스
QUEST_LV_0200_20150714_007602	Хорошо. Хорошо. Я дам вам задание получить куски костей заклинателя проклятий Hallowventer.{nl}Это лучший материал для изготовления антикоррозионного средства.	좋군, 좋아. 그렇다면 할로우벤터 저주술사의 뼈조각을 구해오는 일을 맡길게.{nl}금속판을 보존하는 녹 방지제를 만들 때에는 그게 최고거든.고고학자 유스타스
QUEST_LV_0200_20150714_007603	Как хорошо, что у меня есть хороший помощник.{nl}Богини помогли мне и в этом.	좋은 보조를 두게 되어서 정말 다행이야.{nl}이것도 여신께서 도우신 게지.고고학자 유스타스
QUEST_LV_0200_20150714_007604	Есть поговорка, что гении уроды. Что делать людям более позднего поколения, если Металлическая пластина заржавела.{nl}В любом случае, благодаря вам работа выполняется быстро, так что я счастлив.	천재는 괴짜라더니. 금속판에 녹이 슬면 후대 사람들은 어쩌라는 거야.{nl}어쨌든 자네 덕분에 일이 빠르게 진행되니 기분은 좋군.고고학자 유스타스
QUEST_LV_0200_20150714_007605	Я хочу попросить вас принести металлическую пластину на холмы Рамив.{nl}Есть много пластин, которые я не смог принести из-за монстров. Вы можете это сделать правильно?	이번엔 라미베 언덕의 금속판을 가져오는 일을 부탁하고 싶어.{nl}몬스터 때문에 가져오지 못한 금속판이 꽤 많거든. 할 수 있지?고고학자 유스타스
QUEST_LV_0200_20150714_007606	Это место слишком изолированно, поэтому монстры врываются внутрь.{nl}Будьте осторожны все время.	여긴 워낙 외진 곳이라 몬스터들이 마구 덤벼든다고.{nl}늘 조심해.고고학자 유스타스
QUEST_LV_0200_20150714_007607	Хорошо!{nl}Но статус слишком плох, так что это займет много времени…	훌륭하군! {nl}하지만 상태가 너무 나빠서 좀 오래 걸리겠어..고고학자 유스타스
QUEST_LV_0200_20150714_007608	Какой вид, не так ли?{nl}Хотя здесь спрятаны более грандиозные вещи, например, записи историка Деметрия.{nl}	여긴 정말 장관이지?{nl}하지만 더 대단한 것들이 숨어 있다고. 바로 역사학자 데메트리우스의 기록들이지.{nl}고고학자 유스타스
QUEST_LV_0200_20150714_007609	Я ищу записи Деметриуса, которые еще не были обнаружены.{nl}Монстры опасны, но у меня хорошее предчувствие.	여태껏 발견되지 않았던 데메트리우스의 기록을 찾고 있어.{nl}몬스터가 위험하긴 하지만, 왠지 느낌이 아주 좋아.고고학자 유스타스
QUEST_LV_0200_20150714_007610	Алруида находится недалеко от Апсба Холла.{nl}Мы давно работаем вместе, поэтому, даже если мы далеко друг от друга, мы хорошо знаем друг друга.	알뤼다는 압스바 전당 근처에 있어.{nl}오래 같이 일해서 멀리 떨어져 있어도 손발이 척척 맞지.고고학자 유스타스
QUEST_LV_0200_20150714_007611	Разве не здорово слышать, что люди, богини и демоны могут долгое время жить вместе?{nl}Но почему же тогда не осталось никаких записей?	인간과 여신, 마족이 함께 살았을지도 모른다니, 정말 대단하지 않아?{nl}그런데 왜 아무런 기록도 남지 않은 걸까.고고학자 유스타스
QUEST_LV_0200_20150714_007612	Это так шокирует.{nl}Такой великий ученый, как Деметриус, не мог записать ложь.	확실히 충격적인 내용이야.{nl}데메트리우스나 되는 대학자가 거짓말을 기록하진 않았을 것 아냐.고고학자 유스타스
QUEST_LV_0200_20150714_007613	Поскольку мы не нашли всего, мы не можем сказать это с уверенностью, но…{nl}Я думаю, это о происхождении людей.	아직 전부 찾은 건 아니니까 확실히 단정 지을 순 없지만..{nl}적어도 인간이란 존재가 어디서 왔는가에 대한 내용이 아닐까 생각하고 있어.고고학자 유스타스
QUEST_LV_0200_20150714_007614	Археолог Альруида	고고학자 알뤼다
QUEST_LV_0200_20150714_007615	Вас также интересует историк Деметриус?{nl}Или вы просто путешественник?	당신도 역사학자 데메트리우스에게 관심이 있는 건가요?{nl}아니면 그냥 여행자?고고학자 알뤼다
QUEST_LV_0200_20150714_007616	Благодаря вам был достигнут прогресс в исследовании.{nl}Теперь мы должны выяснить, являются ли его записи вымышленными или настоящими.	당신 덕분에 연구에 진전이 있었어요.{nl}이젠 그의 기록이 허구인지 아닌지를 가릴 차례겠죠.고고학자 알뤼다
QUEST_LV_0200_20150714_007617	Если его записи настоящие, это вызовет у многих шок.{nl}Но лично я не хочу в это верить.	그의 기록이 사실이라면 학계 뿐만이 아니라 모든 이들에게 충격을 줄 거예요.{nl}하지만 개인적으론 믿고 싶지 않군요.고고학자 알뤼다
QUEST_LV_0200_20150714_007618	Я преследую Металлическую пластину, на которой выгравированы записи Деметриуса.{nl}Меня продолжают прерывать монстры, но у нас есть некоторые результаты.	데메트리우스의 기록이 새겨진 금속판을 추적하는 중이에요.{nl}몬스터에게 계속 방해받고 있지만, 나름 성과는 있네요.고고학자 알뤼다
QUEST_LV_0200_20150714_007619	Ах ах...	아아..헤메는 영혼
QUEST_LV_0200_20150714_007620	Я ищу пропавших без вести духов.{nl}Духов, которые вышли из своего обычного путешествия.{nl}	사라진 영혼을 찾고 있어요.{nl}정상적인 여정을 벗어난 영혼들을요.{nl}큐폴 비타
QUEST_LV_0200_20150714_007621	После Medzio Diena происходят страшные вещи.{nl}Причина, по которой духи сбиваются с пути, связана с этим.	인간들이 말하는 신수의 날 이후 무서운 일들만 벌어지고 있어요.{nl}영혼들이 길을 잃는 것도 그 때문이지요.큐폴 비타
QUEST_LV_0200_20150714_007622	Духи мне ничего не говорят.{nl}Вы слышали о них какие-нибудь истории?	영혼들은 제게 아무 말도 해 주질 않아요.{nl}혹시 당신은 그들의 이야기를 들으셨나요?큐폴 비타
QUEST_LV_0200_20150714_007623	Единственное, что я мог сделать, - это депрессия на сотни лет.{nl}Я хочу просто исчезнуть, если смогу.	수 백년 동안 나는 절망하는 것 밖엔 할 수 없었다.{nl}할 수 있다면 그냥 사라져 버리고 싶어.제인의 영혼
QUEST_LV_0200_20150714_007624	Что я могу сделать после потери хозяина и тела.{nl}Кроме того, что я просто наблюдаю за демонами…	스승도, 육체도 잃은 내가 무엇을 할 수 있단 말인가.{nl}이 마족을 지켜보는 것 말고는..제인의 영혼
QUEST_LV_0200_20150714_007625	Я не могу ни идти рядом с богинями, ни быть устраненным.{nl}За что… Я делаю… такие…	여신의 품으로 갈 수도, 소멸할 수도 없어.{nl}무엇을 위해서. 나는 이렇게..제인의 영혼
QUEST_LV_0200_20150714_007626	Разрушающаяся каменная башня	무너지는 돌탑
QUEST_LV_0200_20150714_007627	Каменная башня кем-то рушится. Вы хотите пойти в Каменную Башню?	누군가에 의해 돌탑이 무너지고 있습니다. 돌탑에 가 보시겠습니까?무너지는 돌탑
QUEST_LV_0200_20150714_007628	Я покидаю эту запись, когда я все еще Эйтбарас.{nl}-{nl}Я трепещу перед ними.{nl}Такую скромную фею, как я, не сравнить с ними…{nl}{nl}	내가 아직 아이트바라스 일 때 이 기록을 남겨 둔다.{nl}-{nl}그분들에겐 경외가 있었다.{nl}그저 보잘것없는 요정인 나 따윈 견줄 수 조차 없는..{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007629	Я до сих пор помню время, когда они были мирными.{nl}Но те времена давно прошли.{nl}Эти самые существа теперь обладают сильными амбициями и войной, которой не видно конца…{nl}Даже фея вроде меня могла не делай вид, что не замечаешь этого.{nl}{nl}	나는 아직 그분들이 대립하지 않았던 시절을 기억한다.{nl}하지만 너무 멀리 지나간 시간일 뿐이다.{nl}그 시간이 전해준 그분들의 깊은 골과 대립은 너무나도 깊고 끝이 보이질 않아서..{nl}나 같은 요정들조차 외면하기 어려울 정도였다.{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007630	Когда разлад этих великих существ начал охватывать мир,{nl}мне тоже стало любопытно, почему они противоречат друг другу.{nl}Возможно, сейчас самое время люди могут начать жить независимой жизнью.{nl}{nl }	위대한 존재들의 불화가 세계에 영향을 미치기 시작하자 나 역시 그분들이 대립하는 이유가 궁금해졌다.{nl}아마도 그 시기가 인간들이 비로소 독립적인 삶을 살아가기 시작한 시점이 아닐지 싶다.{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007631	С тех пор я провел бесчисленное количество часов, выполняя свою новую роль.{nl}Однако мои обязанности не давали ответа на мои вопросы.{nl}{nl}	그 후로 셀 수도 없는 시간을 새로 맡은 역할을 감당하며 보냈다.{nl}하지만 그 사역은 나의 의문에 대한 답을 주지 않았다.{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007632	Я не собираюсь давать вам ответ.{nl}Но я могу дать вам силу.{nl}Сила, которая может привести вас к ответу, который вы ищете.{nl}Даже если вы никогда не получите ответа, вы останетесь довольны своими новыми изменениями.	나는 네게 해답을 주지 않을 것이다.{nl}그러나 나는 네게 힘을 줄 수는 있다.{nl}어쩌면 그 힘이 네가 원하는 해답에 이르게 할 수도 있다.{nl}설령 답을 얻지 못할지라도 지금과는 다른 새로운 변화와 만족을 얻을 수 있을 것이다.아이트바라스의 기록
QUEST_LV_0200_20150714_007633	Я немедленно ушел, ничего не сказав.{nl}Но вскоре я… осознал, что был так близок к тому, чтобы наконец получить что-то…{nl}поймал себя на том, что рыдаю… и понял, чего действительно хочу.	나는 그 자리에서 아무 말도 하지 못한 채 물러났다.{nl}하지만 나는.. 손 끝에 간신히 무언가 걸리는 것 같은.. {nl}서럽게 우는 나 자신을 발견하고서야 깨달았다.{nl}{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007634	Когда солнце сядет завтра, я вернусь в Гилтин. И скажи ей о моем решении.{nl}	내일 해가 질 때에 길티네님을 뵙고 그 결심을 말씀드릴 것이다.{nl}아이트바라스의 기록
QUEST_LV_0200_20150714_007635	Как восстановить разрушенное надгробие в руинах храма Наму?{nl}Поскольку вы часто заходите в мой магазин, я могу вам помочь с этим.	나뮤 사원터의 부서진 비석을 붙이는 방법이라.{nl}우리 가게에 자주 오는 손님이니 그 정돈 도와 줄 수 있소.대장장이 자라스
QUEST_LV_0200_20150714_007636	Липкая смола из Green Roftlems широко используется в качестве клея для камня.{nl}Однако вы не можете найти их обычными способами в руинах храма Наму.	돌을 붙이는 접착제로는 초록 로프틀렘의 끈적이는 수지를 많이 쓰오.{nl}하지만 나뮤 사원터라면 보통 방법으론 찾을 수 없지.{nl}
QUEST_LV_0200_20150714_007637	Итак, вот коробка для наживки.{nl}Они сходят с ума от запаха еды внутри. Их соблазнит этот запах.	그러니 먹이 상자를 하나 내 드리겠소.{nl}녀석들은 이 냄새에 정신을 못차리거든. 아마 홀린듯이 기어나올 거요.대장장이 자라스
QUEST_LV_0200_20150714_007638	Если вы найдете липкую смолу, пожалуйста, смешайте ее с этим коагулянтом перед использованием.{nl}Камни прикрепятся легко.	끈적이는 수지를 얻거든 이 응고제와 섞어서 바르시오.{nl}돌 정도는 간단히 붙을 거요.대장장이 자라스
QUEST_LV_0200_20150714_007639	Сделать духи из кепы будет легче, чем найти их, не используя коробку с приманкой.{nl}Даже отправиться на Болото Лауким было бы меньше хлопот.	먹이상자를 쓰지 않고 찾느니 차라리 하늘의 별을 따는 게 쉬울 거요.{nl}아니면 라우키메 저습지까지 가던가.
QUEST_LV_0200_20150714_007640	Ах. Он определенно отреагировал на этот раз.{nl}Я бы долго прожил без вашей помощи. Огромное спасибо.	아. 이번엔 확실히 반응이 있었어요.{nl}도움이 없었다면 한참을 헤맸겠네요. 정말 감사합니다!	QUEST_LV_0200_20150317_000951	Ah, there was definitely a reaction this time. {nl}I would have had a hard time if it wasn't for your help. Thank you!	아. 이번엔 확실히 반응이 있었어요.{nl}계시자님이 도와주시지 않았더라면 한참을 헤맸겠네요. 정말 감사합니다!	사제 베네딕트
QUEST_LV_0200_20150714_007641	Спасибо за помощь.{nl}Богиня помогает тем, кто старается изо всех сил, и я думаю, что это были вы, Носитель откровений.	도와주신다니 정말 감사해요.{nl}여신께선 스스로 돕는 자를 도우신다더니, 제겐 당신이었나봐요.	QUEST_LV_0200_20150323_003608	Thanks for helping us.{nl}The goddess help the ones who try their best, and I think it was you, the Revelator.	도와주신다니 정말 감사해요.{nl}여신께선 스스로 돕는 자를 도우신다더니, 그게 계시자님이셨나봐요.	사제 로아나
QUEST_LV_0200_20150714_007642	Многие демоны собираются в Ритуале, чтобы принять участие в магическом ритуале, который освобождает Блата.{nl}Пожалуйста, сначала победите их.	블룻의 해방 의식을 위해 많은 마족들이 리투알라 집결지로 모여들고 있어요.{nl}아직 모이지 않을 때 먼저 쳐내야 해요.큐폴 아우드라
QUEST_LV_0200_20150714_007643	Валтрус побежден, но его слуги все еще остаются в соборе Оруармы.{nl}Я хочу, чтобы вы заставили этих демонов заплатить за свои грехи.	발트러스를 없앴다곤 하나 아직 그의 잔당들이 오루알마 대회당에 남아 있어요.{nl}그 마족들에게 죗값을 치르게 해 주셨으면 합니다.	QUEST_LV_0200_20150414_006662	Valtruss is defeated but its servants are still left in Oruarma Cathedral. {nl}I want you to let those demons pay for their sins.	발트러스를 처치했다곤 하나 아직 그의 잔당들이 오루알마 대회당에 남아 있어요.{nl}그 마족들에게 죗값을 치르게 해 주셨으면 합니다.	큐폴 지드로네
